Year,Research Title,Name of Faculty Researcher,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation,is_duplicate,authors,research_theme
2023,Wildlife Awareness Educational Simulation Game,"Doreena Joy C. Borja 
Darrel J. Nambio
Elgemar M. Natal
Jhon Rynel S. Tan",Completed,2023-05-01,2023-05-31,2nd International Computing and Information Sciences Conference,"Caraga State University, Butuan City",International,"June 8-9, 2023",False,"['Doreena Joy C. Borja', 'Darrel J. Nambio', 'Elgemar M. Natal', 'Jhon Rynel S. Tan']",Education
2023,"Towards Achieving the Sustainable Development Goals: Identifying Economic and Investment Priorities in Barangay Pili, Mogpog",Generoso E. Udanga,Completed,2022-12-15,2023-04-15,6th International Multidisciplinary Research Conference,"Leyte Normal University, Tacloban City, Leyte",International,"June 27-29, 2023",False,['Generoso E. Udanga'],Other
2023,"Revisiting the Socio-economic and health impacts of the Marcopper Mine Disaster, 20 years after",Evangeline B. Mandia,Completed,2022-01-06,2023-01-06,3rd International Conference on Indigenous Knowledge System and Practices (IKSP) amidst Growing Ecological Challenges: Transdisciplinary Perspectives from Global South,"Yogyakarta Universitas Ahmad, Dahlan, Indonesia",International,"July 5-7, 2023",False,['Evangeline B. Mandia'],Health
2023,"Socio-Economic, Political Orientations, and Literacy Development of People in Salomague Island in Marinduque, Philippines: A Phenomenological Study","Hilarion R. Elegado
Annalyn J. Decena
Kevin Marasigan",Completed,2022-05-15,2023-05-15,International Conference on Academic Research and Innovation (ICARI 2023),"Thu Duc College of Technology, Ho Chi Minh, Vietnam ? via Zoom",International,"July 6-8, 2023",False,"['Hilarion R. Elegado', 'Annalyn J. Decena', 'Kevin Marasigan']",Other
2023,The Perceived Impact Of 1-3-5 Rating  Technique To The Language Proficiency And Confidence Of The Graduates Of Bachelor Of Elementary Education (Beed),Annalyn J. Decena,Completed,2023-05-01,2023-05-05,International Conference on Academic Research and Innovation (ICARI 2023),"Thu Duc College of Technology, Ho Chi Minh, Vietnam",International,"July 6-8, 2023",False,['Annalyn J. Decena'],Education
2023,"Ex-post aquatic Impact Assessment of Mined-out areas in Boac, Marinduque, Philippines: Two Decades after the Disaster",Evangeline B. Mandia,Completed,2022-01-09,2023-01-06,17th National Symposium of Marine Science Philippine Association of Marine Sciences (PAMS),"Batangas State University, Batangas City",National,"July 20-22, 2023.",False,['Evangeline B. Mandia'],Other
2023,"Status of Implementation of Katarungang Pambarangay in Ilaya I District, Municipality of Boac, Marinduque: Basis for Intervention Program","John Kenneth F. Liguit
Leodegario M. Jalos, Jr.",Completed,2023-01-15,2023-04-15,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['John Kenneth F. Liguit', 'Leodegario M. Jalos', 'Jr.']",Other
2023,Narrative Inquiry of Teaching Reading Strategies to English Language Learners of Selected Public Elementary Teachers of Grade 6 in Boac North District: Basis for the Proposed Framework,"Jean Grace M. Solina-Nazareno
Alissa Pamela G. Hernandez",Completed,2023-01-20,2023-04-20,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['Jean Grace M. Solina-Nazareno', 'Alissa Pamela G. Hernandez']",Education
2023,Profiling of Marinduque State College-Bachelor of Secondary Education Graduates? Achievements,"Dexter M. Go 
Liza Marie M. Manoos-Pacia",Completed,2023-01-15,2023-04-15,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['Dexter M. Go', 'Liza Marie M. Manoos-Pacia']",Education
2023,Students? Perceptions Towards Learning Mathematics and their Academic Performances,"Gliza N. Almonte
Liza Marie M. Manoos-Pacia",Completed,2023-01-20,2023-04-20,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['Gliza N. Almonte', 'Liza Marie M. Manoos-Pacia']",Education
2023,The Use Of Six-Questions Cognitive Model In Developing The Mathematical Skills Of Grade 6 Learners,"John Cris P. Andrade  
Noel R. Palomares",Completed,2023-10-02,2023-10-05,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['John Cris P. Andrade', 'Noel R. Palomares']",Other
2023,"Level of Satisfaction of Bachelor of Secondary Education (Bsed) Students On The Auxiliary Services,  Marinduque State College","Noelle Anne S. Pelaez
Liza Marie M. Manoos-Pacia",Completed,2023-01-20,2023-04-20,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['Noelle Anne S. Pelaez', 'Liza Marie M. Manoos-Pacia']",Education
2023,Myers-Briggs Type Indicator and the Academic Performance of the Bachelor of Secondary Education Major in Mathematics,"Gianne Patricia M. Togonon
Liza Marie M. Manoos-Pacia",Completed,2023-01-15,2023-04-15,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['Gianne Patricia M. Togonon', 'Liza Marie M. Manoos-Pacia']",Education
2023,Sentiment Analysis of Customer Reviews in E-Commerce  ,"Pollux Rey
Ronjie Mar Malinao",Completed,2023-03-20,2023-05-20,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,"['Pollux Rey', 'Ronjie Mar Malinao']",Other
2023,Comprehensive Corn Leaf Disease Detection and Classification through Convolutional Neural Networks: A U-Net Based Approach for Semantic Segmentation and Performance Evaluation,Jerald B. Mabuti,Completed,2023-01-25,2023-06-25,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,['Jerald B. Mabuti'],Health
2023,Predictive Modeling for Carabao Milk Quality: Unraveling Key Influencers using Machine Learning Techniques,Wilmer M. Pascual,Completed,2023-03-25,2023-07-25,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,['Wilmer M. Pascual'],Education
2023,Butterfly Taxonomy Mapping through Convolutional Neural Network Using Resnet50 as Base Model,Paulo Jose H. Marquez,Completed,2023-10-01,2023-10-06,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,['Paulo Jose H. Marquez'],Other
2023,Utilizing Learning Style Theory in Tertiary Education: Towards Adaptive Learning,Ryan Clifford L. Perez,Completed,2023-05-15,2023-07-15,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,['Ryan Clifford L. Perez'],Education
2023,Towards An Adaptive Learning for Tertiary Education: The Potential of Universal Design For Learning (UDL) Framework,Ryan Clifford L. Perez,Completed,2023-04-15,2023-07-15,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023",False,['Ryan Clifford L. Perez'],Education
2023,The Impact of Investment Fraud Victimization to the Well-being of Selected College Students: A Basis in Developing Interventions,Ronalyn M. Motol,Completed,2023-01-03,2023-01-08,APCORE-PIKSI 2023 Hybrid International Conference,"Grand Asrilia Hotel Bandung, West Java Indonesia ",International,"August 29-31, 2023",False,['Ronalyn M. Motol'],Education
